CVE_MUN,NOMGEO,POB_2020
39,Monterrey,"1,142,994"
6,Apodaca,"656,464"
26,Guadalupe,"643,143"
21,General Escobedo,"481,213"
31,Juárez,"471,523"
46,San Nicolás de los Garza,"412,199"
18,García,"397,205"
48,Santa Catarina,"306,322"
41,Pesquería,"147,624"
19,San Pedro Garza García,"132,169"
9,Cadereyta Jiménez,"122,337"
10,El Carmen,"104,478"
25,General Zuazua,"102,149"
45,Salinas Victoria,"86,766"
33,Linares,"84,666"
12,Ciénega de Flores,"68,747"
38,Montemorelos,"67,428"
49,Santiago,"46,784"
17,Galeana,"40,903"
14,Doctor Arroyo,"36,088"
4,Allende,"35,289"
44,Sabinas Hidalgo,"34,709"
5,Anáhuac,"18,030"
47,Hidalgo,"16,086"
7,Aramberri,"14,992"
22,General Terán,"14,109"
13,China,"9,930"
36,Mier y Noriega,"7,652"
11,Cerralvo,"7,340"
29,Hualahuises,"7,026"
24,General Zaragoza,"6,282"
37,Mina,"6,048"
20,General Bravo,"5,506"
42,Los Ramones,"5,389"
32,Lampazos de Naranjo,"5,351"
34,Marín,"5,119"
8,Bustamante,"3,661"
51,Villaldama,"3,573"
2,Agualeguas,"3,382"
30,Iturbide,"3,298"
16,Doctor González,"3,256"
1,Abasolo,"2,974"
43,Rayones,"2,377"
27,Los Herreras,"1,959"
23,General Treviño,"1,808"
50,Vallecillo,"1,552"
35,Melchor Ocampo,"1,483"
3,Los Aldamas,"1,407"
28,Higueras,"1,386"
15,Doctor Coss,"1,360"
40,Parás,906
